antecedent,consequent,support,confidence,lift,is_confirmed,conf_bucket
B001PO2BJI,B001GIUWX0,0.0007058823529411,0.6000000000000001,425.00000000000006,1,High (>0.6)
B001GIUWX0,B001PO2BJI,0.0007058823529411,0.5,425.00000000000006,1,Mid (0.3-0.6)
B00AVZRVP6,B00AKOB7CG,0.0007058823529411,0.4285714285714286,227.67857142857144,1,Mid (0.3-0.6)
B075C981JV,B08H3S943X,0.0007058823529411,0.4285714285714286,227.67857142857144,1,Mid (0.3-0.6)
B08H3S943X,B075C981JV,0.0007058823529411,0.375,227.67857142857144,1,Mid (0.3-0.6)
B00AKOB7CG,B00AVZRVP6,0.0007058823529411,0.375,227.67857142857144,1,Mid (0.3-0.6)
B07R9RPQ43,B072K63ZPD,0.0007058823529411,0.5,212.50000000000003,1,Mid (0.3-0.6)
B072K63ZPD,B07R9RPQ43,0.0007058823529411,0.3,212.50000000000003,1,Low (<0.3)
B07T3Z11QJ,B09MSQBZFJ,0.0007058823529411,0.3333333333333333,202.3809523809524,1,Mid (0.3-0.6)
B09MSQBZFJ,B07T3Z11QJ,0.0007058823529411,0.4285714285714286,202.3809523809524,1,Mid (0.3-0.6)
B09TQBJCJ6,B08YHH5QDG,0.0007058823529411,0.375,199.21875,1,Mid (0.3-0.6)
B08YHH5QDG,B09TQBJCJ6,0.0007058823529411,0.375,199.21875,1,Mid (0.3-0.6)
B00K5I323O,B00K5HTPR2,0.0009411764705882,0.3636363636363636,171.7171717171717,1,Mid (0.3-0.6)
B00K5HTPR2,B00K5I323O,0.0009411764705882,0.4444444444444445,171.7171717171717,1,Mid (0.3-0.6)
B00FY5PLTQ,B01C82SCGG,0.0011764705882352,0.4166666666666666,160.98484848484847,1,Mid (0.3-0.6)
B01C82SCGG,B00FY5PLTQ,0.0011764705882352,0.4545454545454545,160.98484848484844,1,Mid (0.3-0.6)
B09C1PZPND,B08YHH5QDG,0.0007058823529411,0.3,159.37500000000003,1,Low (<0.3)
B00CES8EFY,B00BAQXJMO,0.0007058823529411,0.3,159.37500000000003,1,Low (<0.3)
B08YHH5QDG,B09C1PZPND,0.0007058823529411,0.375,159.375,1,Mid (0.3-0.6)
B00BAQXJMO,B00CES8EFY,0.0007058823529411,0.375,159.375,1,Mid (0.3-0.6)
B00NEU02JW,B009VUHW60,0.0007058823529411,0.3333333333333333,157.40740740740745,1,Mid (0.3-0.6)
